order_id,date,sku,quantity,unit_price,gross_sales,shipping_revenue,actual_shipping_cost,refund_status,refund_amount
13024,10/1/2023,GENERIC-GADGET-4,1,65.08,65.08,0,8.15,Refunded,-65.08
12565,10/1/2023,LAPTOP-STAND-ALU,1,59.99,59.99,0,9.2,Completed,0
11014,10/1/2023,GENERIC-GADGET-6,1,38.3,38.3,9.99,6.75,Completed,0
11614,10/1/2023,GENERIC-GADGET-1,1,65.5,65.5,0,6.75,Completed,0
12530,10/1/2023,GENERIC-GADGET-1,1,65.5,65.5,0,6.75,Completed,0
11605,10/1/2023,GENERIC-GADGET-3,1,59.05,59.05,0,8.15,Completed,0
12496,10/1/2023,GENERIC-GADGET-4,1,65.08,65.08,0,8.15,Completed,0
10976,10/1/2023,SCREEN-CLEAN-KIT,2,9.99,19.98,9.99,5.7,Completed,0
10732,10/1/2023,LAPTOP-STAND-ALU,2,59.99,119.98,0,9.2,Completed,0
10736,10/1/2023,MECH-KEYBOARD-RGB,1,129.99,129.99,0,10.25,Completed,0
10120,10/1/2023,GENERIC-GADGET-1,3,65.5,196.5,0,6.75,Completed,0
10119,10/1/2023,GENERIC-GADGET-6,2,38.3,76.6,0,6.75,Completed,0
12119,10/1/2023,GENERIC-GADGET-7,1,33.15,33.15,9.99,7.45,Completed,0
14015,10/1/2023,GENERIC-GADGET-8,1,46.52,46.52,9.99,7.8,Completed,0
10412,10/1/2023,GENERIC-GADGET-10,3,77.76,233.28,0,8.15,Completed,0
10789,10/1/2023,SMART-HUB-X,1,89.99,89.99,0,6.75,Refunded,-89.99
11368,10/1/2023,GENERIC-GADGET-3,1,59.05,59.05,0,8.15,Completed,0
14316,10/1/2023,GENERIC-GADGET-5,1,76.53,76.53,0,8.15,Completed,0
11525,10/1/2023,SMART-HUB-X,2,89.99,179.98,0,6.75,Completed,0
13575,10/1/2023,GENERIC-GADGET-5,1,76.53,76.53,0,8.15,Completed,0
14033,10/1/2023,SMART-HUB-X,1,89.99,89.99,0,6.75,Completed,0
14145,10/1/2023,GENERIC-GADGET-5,1,76.53,76.53,0,8.15,Completed,0
10363,10/1/2023,GENERIC-GADGET-1,1,65.5,65.5,0,6.75,Completed,0
11649,10/1/2023,MOUSE-PAD-XL,1,24.99,24.99,9.99,6.4,Completed,0
10477,10/1/2023,GENERIC-GADGET-8,1,46.52,46.52,9.99,7.8,Completed,0
12870,10/1/2023,MOUSE-PAD-XL,1,24.99,24.99,9.99,6.4,Completed,0
10297,10/1/2023,GENERIC-GADGET-8,1,46.52,46.52,9.99,7.8,Completed,0
11936,10/1/2023,GENERIC-GADGET-2,1,59.9,59.9,0,7.1,Completed,0
14098,10/1/2023,GENERIC-GADGET-7,1,33.15,33.15,9.99,7.45,Completed,0
13883,10/1/2023,LAPTOP-STAND-ALU,2,59.99,119.98,0,9.2,Completed,0
14099,10/1/2023,VR-HEADSET-LITE,1,299.99,299.99,0,7.8,Refunded,-299.99
13229,10/1/2023,GENERIC-GADGET-1,1,65.5,65.5,0,6.75,Completed,0
11717,10/1/2023,USB-C-CABLE-2M,2,12.99,25.98,9.99,5.35,Refunded,-25.98
13772,10/1/2023,GENERIC-GADGET-8,1,46.52,46.52,9.99,7.8,Completed,0
13272,10/1/2023,USB-C-CABLE-2M,1,12.99,12.99,9.99,5.35,Completed,0
12714,10/1/2023,GENERIC-GADGET-8,1,46.52,46.52,9.99,7.8,Refunded,-46.52
14358,10/1/2023,GENERIC-GADGET-9,3,44.07,132.21,0,6.4,Completed,0
12010,10/1/2023,LAPTOP-STAND-ALU,1,59.99,59.99,0,9.2,Completed,0
13322,10/1/2023,GENERIC-GADGET-8,1,46.52,46.52,9.99,7.8,Completed,0
11042,10/1/2023,GENERIC-GADGET-1,1,65.5,65.5,0,6.75,Completed,0
12022,10/1/2023,GENERIC-GADGET-9,2,44.07,88.14,0,6.4,Completed,0
14040,10/1/2023,GAMER-CHAIR-PRO,3,199.99,599.97,0,57.5,Completed,0
11653,10/1/2023,USB-C-CABLE-2M,1,12.99,12.99,9.99,5.35,Completed,0
12592,10/1/2023,GENERIC-GADGET-5,1,76.53,76.53,0,8.15,Completed,0
10405,10/1/2023,GENERIC-GADGET-9,1,44.07,44.07,9.99,6.4,Completed,0
11007,10/1/2023,GENERIC-GADGET-0,1,50.75,50.75,0,7.45,Completed,0
10385,10/1/2023,GENERIC-GADGET-6,1,38.3,38.3,9.99,6.75,Completed,0
10041,10/1/2023,SCREEN-CLEAN-KIT,1,9.99,9.99,9.99,5.7,Completed,0
